artist_id,artist_name,status,submitted_by,reviewed_by
2HBbky0Z08ZcCKVsXWbNE4,The Dave Clark Five,approved,2,1
3FUY2gzHeIiaesXtOAdB7A,Train,approved,2,1
5M0fvL9GMc2zTuIIQwresj,Vanessa Amorosi,approved,2,1
3WrFJ7ztbogyGnTHbHJFl2,The Beatles,approved,2,1
7nDsS0l5ZAzMedVRKPP8F1,Ella Henderson,approved,2,1
622HMYOaiqowUmcd5t3b7t,Dragon,approved,2,1
6dYrdRlNZSKaVxYg5IrvCH,The KLF,approved,2,1
3rRmDmzPcAFwcUDvG5gBqO,Percy Sledge,approved,2,1
5hQCwevTf03u1rECrRMeop,Grandmaster Flash & The Furious Five,approved,2,1
3PhoLpVuITZKcymswpck5b,Elton John,approved,2,1
26dSoYclwsYLMAKD3tpOr4,Britney Spears,approved,2,1
6ieVhWXtOmK6DO6dmX7Eko,Sneaky Sound System,approved,2,1
0repuWOrxA3wK6vdP99hoZ,Shab,approved,2,1
1aXgASMjQp7OqVFWYE4RKZ,Martinez Twins,approved,2,1
4oUHIQIBe0LHzYfvXNW4QM,Morgan Wallen,approved,2,1
27rXetqqGSi2spXzggwehc,Johnny Logan,approved,2,1
7lKaTIgVek1R2lqpCulQmq,Gene Vincent & His Blue Caps,approved,2,1
5VAHm7V5mnsxvQrWw3KHmx,Gene Vincent,approved,2,1
72KyoXzp0NOQij6OcmZUxk,Midnight Oil,approved,2,1
1zNqDE7qDGCsyzJwohVaoX,Anne-Marie,approved,2,1
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,approved,2,1
7tYKF4w9nC0nq9CsPZTHyP,SZA,approved,2,1
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,approved,2,1
3mQBpAOMWYqAZyxtyeo4Lo,KC & The Sunshine Band,approved,2,1
7bu3H8JO7d0UbMoVzbo70s,The Cure,approved,2,1
6tbjWDEIzxoDsBA1FuhfPW,Madonna,approved,2,1
6Q8cPPtM6vgTZO2iaVOjEk,E.Y.C.,approved,2,1
0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,approved,2,1
32lVGr0fSRGT6okLKHiP68,Taylor Dayne,approved,2,1
6kACVPfCOnqzgfEF5ryl0x,Johnny Cash,approved,2,1
0ZnY6mQmgr2yZarjry68td,June Carter Cash,approved,2,1
3q7HBObVc0L8jNeTe5Gofh,50 Cent,approved,2,1
22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,approved,2,1
2hrWpLNoJcs1EnWSXvB6JI,The Rubens,approved,2,1
6S0IvKlvPMX1RtAYtVpUV8,Drax Project,approved,2,1
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,approved,2,1
5lKZWd6HiSCLfnDGrq9RAm,Leona Lewis,approved,2,1
0ECwFtbIWEVNwjlrfc6xoL,Eagles,approved,2,1
0Xi59sEw38vRvwleSAVqoo,Marty Robbins,approved,2,1
6BkcAbUkfIBM4XudxieMq8,Dr. Alban,approved,2,1
2wvUfjKGoXvcnDHq7GgMOa,The Ting Tings,approved,2,1
6RZUqkomCmb8zCRqc9eznB,Placebo,approved,2,1
3wYyutjgII8LJVVOLrGI0D,Buddy Holly,approved,2,1
4r7JUeiYy24L7BuzCq9EjR,The Crickets,approved,2,1
6IYnSXO40Bh7Zdqhf6rQoj,Alannah Myles,approved,2,1
3YUrEElXpqiPSbffh9XXZd,Rogue Traders,approved,2,1
0vYkHhJ48Bs3jWcvZXvOrP,Patti Smith,approved,2,1
4KWTAlx2RvbpseOGMEmROg,R.E.M.,approved,2,1
2ekjTXgjxbWwBX5lTAj4DU,Eric Carmen,approved,2,1
6HGeVgbCIyLs0cD7SVykwQ,Lazaro's Dog,approved,2,1
23wr9RJZg0PmYvVFyNkQ4j,Gary Moore,approved,2,1
1EVWYRr2obCRDoSoD6KSuM,Havana Brown,approved,2,1
6deZN1bslXzeGvOLaLMOIF,Nickelback,approved,2,1
6LuN9FCkKOj5PcnpouEgny,Khalid,approved,2,1
0aRJShMkUsHVCyCw5Klxj3,Do Re Mi,approved,2,1
0lJlKQvuM2Sd9DPPyUXcHg,Sixpence None The Richer,approved,2,1
4NOVe4Wki1UYTaKdC9OBOt,Chase Martin,approved,2,1
01pKrlgPJhm5dB4lneYAqS,Sigma,approved,2,1
2feDdbD5araYcm6JhFHHw7,Labrinth,approved,2,1
2d3VHzlOEwXvmBdS4pzOPL,LeAnn Rimes,approved,2,1
4lxfqrEsLX6N1N4OCSkILp,Phil Collins,approved,2,1
17UkABEasVRlCcIFZ3wHb7,Steps,approved,2,1
4ACplpEqD6JIVgKrafauzs,The Everly Brothers,approved,2,1
4GCWiBjgcpUciB55iT5bel,Passengers,approved,2,1
0Y8KmFkKOgJybpVobn1onU,Luciano Pavarotti,approved,2,1
485uL27bPomh29R4JmQehQ,Bob Seger,approved,2,1
2EqPo7BwJq5UJsE5nWqgrk,Penny McLean,approved,2,1
3mZqziCJj4pq3P2VBpmK6p,Friendly Fires,approved,2,1
1T0wRBO0CK0vK8ouUMqEl5,Tom Jones,approved,2,1
72Nhcx7prNk2ZCxhx0Y5es,Amy Grant,approved,2,1
40Yq4vzPs9VNUrIBG5Jr2i,The Smashing Pumpkins,approved,2,1
4RVnAU35WRWra6OZ3CbbMA,Kylie Minogue,approved,2,1
25uiPmTg16RbhZWAqwLBy5,Charli xcx,approved,2,1
2hrfuB0LtVmFZ6MvPMIHTK,Russell Watson,approved,2,1
3NRFinRTEqUCfaTTZmk8ek,Savage Garden,approved,2,1
1cK2Abwkni7m51wJCSGllN,Ultra Naté,approved,2,1
1MYRPpeCETOc6MOoowNM3y,Sunset City,approved,2,1
6QtGlUje9TIkLrgPZrESuk,Steve Miller Band,approved,2,1
5vCOdeiQt9LyzdI87kt5Sh,AronChupa,approved,2,1
1KYt3TMGpa1LtVi0m2A0F9,Little Sis Nora,approved,2,1
6kz53iCdBSqhQCZ21CoLcc,Culture Club,approved,2,1
4Zwtv7Mc3eHv465GJ6au6n,Billy Thorpe & The Aztecs,approved,2,1
58lV9VcRSjABbAbfWS6skp,Bon Jovi,approved,2,1
0wPdF6oU9sRm16BNvWfyRR,Dave Berry,approved,2,1
3CjlHNtplJyTf9npxaPl5w,CHVRCHES,approved,2,1
1GxkXlMwML1oSg5eLPiAz3,Michael Bublé,approved,2,1
0EyuKHE1AeE9lWUF8mzKVp,Fuel,approved,2,1
34sQ4BJAwfwQsn9OgJtIzj,The Potbelleez,approved,2,1
6vLlQYujOujIrm7zAKzEdG,Donovan,approved,2,1
6rEzedK7cKWjeQWdAYvWVG,Five,approved,2,1
7KUri7klyLaIFXLcuuOMCd,Stargate,approved,2,1
3gMaNLQm7D9MornNILzdSl,Lionel Richie,approved,2,1
2NjfBq1NflQcKSeiDooVjY,Tones And I,approved,2,1
5Y5TRrQiqgUO4S36tzjIRZ,Timbaland,approved,2,1
4WN5naL3ofxrVBgFpguzKo,Rudimental,approved,2,1
7sfgqEdoeBTjd8lQsPT3Cy,Emeli Sandé,approved,2,1
20qISvAhX20dpIbOOzGK3q,Nas,approved,2,1
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,approved,2,1
205i7E8fNVfojowcQSfK9m,Dom Dolla,approved,2,1
6zFYqv1mOsgBRQbae3JJ9e,Billy Joel,approved,2,1
3gvT4Mc7kn54IUy08Y0Tr5,Sam Brown,approved,2,1
67OKa82otrQqKDsfTDfSYA,Pete Brown,approved,2,1
12Chz98pHFMPJEknJQMWvI,Muse,approved,2,1
2kreKea2n96dXjcyAU9j5N,The Pointer Sisters,approved,2,1
67hb7towEyKvt5Z8Bx306c,Empire Of The Sun,approved,2,1
1w5Kfo2jwwIPruYS2UWh56,Pearl Jam,approved,2,1
1yxSLGMDHlW21z4YXirZDS,Black Eyed Peas,approved,2,1
4QQgXkCYTt3BlENzhyNETg,Earth\,approved,2,1
artist_missing_d5dcb2efcb7a,Wind & Fire,approved,2,1
