track_id,artist_id
2cGxRwrMyEAp8dEbuZaVv6,1rAv1GhTQ2rmG94p9lU3rB
1ezeinbhS1HhWzA8yQIzA7,6CZ47nllxoNELmf1dScwPh
56zrJ2upO5VssMnqowOZOH,7krx6UBDKLwE0q3s3fesqF
56zrJ2upO5VssMnqowOZOH,08MVPakTEdRJimQNV61NFR
2H9CKpZiLDF223BbwehpDF,6wPhSqRtPu1UhRCDX5yaDJ
1kj3ASwCuqDnzehRd3WIz3,3ExT45ORJ8pT516HRZbr7G
0SZIQOLgjT6awjwInBsSjV,3loflELg7MzgrOyNqERolN
2QLEN3RVunMas7j0PHjeAT,4mar1GMMEhvGyJdWagu6KS
4AGkYEPy8SPf0JADQNsw2q,2wSrZOe6YVo6XoKma22sdY
3c4OULLWwgRqBfA2dJtRuY,2wMcQIxzH2LYHJZNxo9FcN
3tFECpGckFpp0HpQje78gi,51K48NCxjB11t9eqUWWoIq
66xn6tB8s3l8uhj02OGneE,5pUo3fmmHT8bhCyHE52hA6
66xn6tB8s3l8uhj02OGneE,5CCwRZC6euC8Odo6y9X8jr
070QivFOnOdtVznpnrUMCO,72TwyCcvk2jm4gZSGEPjhb
0a75KbBW12Hc8QtrD1gwAJ,2wMcQIxzH2LYHJZNxo9FcN
3RauEVgRgj1IuWdJ9fDs70,06HL4z0CvFAxyc27GXpf02
1ofagnzl7oj7z1MtwGesHX,3g4Os4LNZvOQUaokeSLCwG
3iA4foXIFpekwHyma7pRs1,0f3EsoviYnRKTkmayI3cux
6XrWIKoIwqomse4ZmBnjQd,7ASucWaI33cepJbo74Hlo0
27L8sESb3KR79asDUBu8nW,1pgtr4nhBQjp9oCUBPyYWh
0ZUjPkZKjzRi6bgIuJovfY,6YHEMoNPbcheiWS2haGzkn
46LTPfvrxlgNLyIGBup4O2,5kp9Qhzri9LrDkzrtjt5Sh
2a1o6ZejUi8U3wzzOtCOYw,33ScadVnbm2X8kkUqOkC6Z
2a1o6ZejUi8U3wzzOtCOYw,5bv5RplEOwdCvhq0EILh9E
1iola53QSlUVnceCbxr15K,6P7kkhED6EPrfoZuxz20Fo
3PfERRzizJqTx0fuRmBgtH,31Qm8tlnFdAbGPok6Rfhz3
0C3nGIOCvSsRwc0zpAJ9Db,0BZ3BHzfYwpd3k5TDnvAz8
0QdePZJfBpRIBautuT4FSx,5YGY8feqx7naU7z4HrwZM6
2EnaF6Nll7GTSAyaXvd2qW,5i84V8Zk7YqCN6xxb7SWgw
3xgKCfRwbqie54nHtSLnhM,0MponVSpW81oLvJZ53vYZH
0ErrsvDylBWZeAUYbqLllv,7guDJrEfX3qb6FEbdPA5qi
5lm8SfB4FoPbUcSDKTO8c4,5XVcYaeSTGZXwxd63aY9Tv
6qI0MU175Dk2DeoUjlrOpy,1HY2Jd0NmPuamShAr6KMms
3Pas9u4vk4hKEIa5OtKRFF,0SD4eZCN4Kr0wQk56hCdh2
7L4NzRGuukFbw4pRylIjlN,2RpHsROrX075xfIwHn6B2U
1LeWIs2hP2r5yOQnVuYoI5,3koiLjNrgRTNbOwViDipeA
1LeWIs2hP2r5yOQnVuYoI5,75jNCko3SnEMI5gwGqrbb8
6XZpVCFrDf2XMtyaX1Wst0,5VWIuZAPbBdtFHdbDyYeHQ
2DUbzMIzQz7k28KKF2fpgo,43ZHCT0cAZBISjO8DG9PnE
6IiCb4PCrDgqLuDWgHhFi7,2qxJFvFYMEDqd7ui6kSAcq
6IiCb4PCrDgqLuDWgHhFi7,5RJFJWYgtgWktosLrUDzff
0Oc2t0ffBfnFKthTFB87zZ,7guDJrEfX3qb6FEbdPA5qi
4Q0aYLHFOadFypiCpv4Rb7,0TAITmVrG10TK5kngOwpPr
4Q0aYLHFOadFypiCpv4Rb7,49viEfjH2H3YgB52Cj0IZH
4vHMbItY3W8VfxFuH2kQn6,6748v9yNrbb4PPJuvfoMRa
79hJaqmVdohltPBNN6BULM,1LZEQNv7sE11VDY3SdxQeN
0nbXyq5TXYPCO7pr3N8S4I,757aE44tKEUQEqRuT6GnEB
3OalxlWH0v14kyBcNBMINt,7n2wHs1TKAczGzO7Dd2rGr
1OFKUn2VLafrHj7ybnap0Q,08ct2eZF5lUPdJpHwNKWof
0TJRfA2MIIRd3tTDK9tPPf,4iHNK0tOyZPYnBU7nGAgpQ
0TJRfA2MIIRd3tTDK9tPPf,21E3waRsmPlU7jZsS13rcj
7rGOWzo4evAQQ2FzrSKp0B,2GF1B0GIaFrLFLdfH6ufRO
6UaRii9AH6Zss9xNMEQ2M9,7dGJo4pcD2V6oG8kP0tJRR
6UaRii9AH6Zss9xNMEQ2M9,5pKCCKE2ajJHZ9KAiaK11H
1RxSnx3hSCwX2DcG9tvpbD,6LUNCFwAUUaWSDtaOcTpJH
7xx8JqaauSj5Ay8Efnm0hr,6B5c4sch27tWHAGdarpPaW
7xx8JqaauSj5Ay8Efnm0hr,0fGVuq5ed21pM7iWwTcMyk
1tOT50hl9UG9kGif08Fan5,7dlqUnjoF2U2DkNDMhcgG4
1tOT50hl9UG9kGif08Fan5,4sOcMLlr0hMwrLXScjAgoq
1qk9ujVgudgU8CyhKOx8ji,2AsusXITU8P25dlRNhcAbG
1qk9ujVgudgU8CyhKOx8ji,6hk7Yq1DU9QcCCrz9uc0Ti
3APXBFJM1OTXvbsx10TgG3,7sCcPQQft3sSxcJaB30dlb
3ZHfX6kbiY7JVsB63lLOLu,74XFHRwlV6OrjEM0A2NCMF
2dC0Rl8OfpULkMvagGUwPi,3XsgWn63EnA4wYZBjVyxjf
0939D7aT18uBDS2MTjWzct,4gzpq5DPGxSnKTe4SA8HAU
6LoSKNsYkRQbyuiReooMjG,1Ha0Fz4i0d4gu5fZbhBCtH
0l37J5l4eJfIdd7cea1Cl5,3XsgWn63EnA4wYZBjVyxjf
6wmazwwzaTNFnKcyQFZsuq,1FqqOl9itIUpXr4jZPIVoT
0FeCO85RKW8fDRytwXof2x,08GQAI4eElDnROBrJRGE0X
4O3HRDIBChh0quFPhfDXd1,5pKCCKE2ajJHZ9KAiaK11H
7EmGUiUaOSGDnUUQUDrOXC,0C8ZW7ezQVs4URX5aX7Kqx
7EmGUiUaOSGDnUUQUDrOXC,64KEffDW9EtZ1y2vBYgq8T
4HQ9gXAtONKs8NCM0MFUTu,698hF4vcwHwPy8ltmXermq
4HQ9gXAtONKs8NCM0MFUTu,4jbcqKzc4Wuy6MivHhzPrP
6q92eTIDGRb2gMc9qYSxrn,0Nlg1HCtb8dpeVpxQojDiq
0tgVpDi06FyKpA1z0VMD4v,6eUKZXaKkcviH0Ku9w2n3V
3wqoAzrr5htxSZ7KzxhLHg,5xQKoGD7Ql92fWd1uWwKkf
6KPMiBhU6O9RBImTQXQNCe,5rSXSAkZ67PYJSvpUpkOr7
0XQHz5C8PknyrEhyrKxVKa,1l8Fu6IkuTP0U5QetQJ5Xt
0XQHz5C8PknyrEhyrKxVKa,13y7CgLHjMVRMDqxdx0Xdo
0XIvZ82aDF7JiSi3ZE320u,27T030eWyCQRmDyuvr1kxY
2QZvMncP3hoLfHJXq4218n,6Vg8U5m1yHwqRyQMi87tay
2QZvMncP3hoLfHJXq4218n,6Rboxwjnvu3wLcwzhlnaSO
3ZffCQKLFLUvYM59XKLbVm,7oPftvlwr6VrsViSDV7fJY
1gaebx506AU20bCJKEQUy9,4tX2TplrkIP4v05BNC903e
5qtwzv99vOr5UTwnTixn7j,7oPftvlwr6VrsViSDV7fJY
0iVXKGnD23wIulXZRit20N,2yTUYhIf8fxptTIy3KLuJD
4oW1lGOw5Q5OLvoJv92qoE,6nNkKMkPl1qBCEW3Al9eVV
4TTxKh1FnnGEeGWK2s8xBa,2PeqTZKroEc2oDwTfmB2al
06C1afLEMNO4hii8mbX6sq,2HBbky0Z08ZcCKVsXWbNE4
0KAiuUOrLTIkzkpfpn9jb9,3FUY2gzHeIiaesXtOAdB7A
7ikgdP2UytKecFM0AXSHxy,5M0fvL9GMc2zTuIIQwresj
5J2CHimS7dWYMImCHkEFaJ,3WrFJ7ztbogyGnTHbHJFl2
