artist_id,genre
a149,dance pop
a149,pop
a149,urban contemporary
a149,r&b
a150,dance pop
a150,pop
a150,urban contemporary
a150,r&b
a151,classic girl group
a151,northern soul
a152,detroit hip hop
a152,hip hop
a152,rap
a152,barbadian pop
a152,pop
a152,urban contemporary
a153,detroit hip hop
a153,hip hop
a153,rap
a153,barbadian pop
a153,pop
a153,urban contemporary
a154,classic nz pop
a155,alternative metal
a155,nu metal
a155,post-grunge
a155,south african rock
a155,hel
a156,alternative metal
a156,nu metal
a156,post-grunge
a156,south african rock
a156,hel
a41,australian r&b
a157,australian hip hop
a157,australian r&b
a158,australian pop
a158,bergen indie
a158,electropop
a158,nz pop
a159,australian pop
a159,bergen indie
a159,electropop
a159,nz pop
a160,australian alternative rock
a160,australian indie
a161,candy pop
a161,modern rock
a161,pixie
a161,pop
a161,pop emo
a161,pop punk
a161,rock
a162,funk metal
a162,funk rock
a162,glam metal
a162,hard rock
a163,album rock
a163,classic rock
a163,glam metal
a163,hard rock
a163,soft rock
a164,adult standards
a164,classic soul
a164,doo-wop
a164,rock-and-roll
a164,rockabilly
a164,soul
a165,pop
a165,post-teen pop
a165,brostep
a165,edm
a165,progressive electro house
a66,post-teen pop
a166,asian american hip hop
a166,dance pop
a166,pop rap
a166,barbadian pop
a166,talent show
a167,asian american hip hop
a167,dance pop
a167,pop rap
a167,barbadian pop
a167,talent show
a168,australian rock
a169,pop
a169,singer-songwriter pop
a169,uk pop
a170,album rock
a170,mellow gold
a170,new wave pop
a170,soft rock
a170,yacht rock
a171,boy band
a171,dance pop
a171,pop
a71,atl hip hop
a71,dirty south rap
a71,rap
a172,girl group
a172,pop
a172,talent show
a172,atl hip hop
a172,dirty south rap
a172,hip hop
a172,pop rap
a172,rap
a172,southern hip hop
a172,trap
a173,album rock
a173,german hard rock
a173,german metal
a173,german rock
a173,hard rock
a173,rock
a174,surf music
a175,surf music
a176,modern rock
a176,permanent wave
a176,punk
a176,rock
a177,album rock
a177,classic rock
a177,hard rock
a177,heartland rock
a177,mellow gold
a177,rock
a177,singer-songwriter
a177,soft rock
a178,album rock
a178,mellow gold
a178,new romantic
a178,new wave
a178,new wave pop
a178,soft rock
a179,swamp pop
a180,british invasion
a180,merseybeat
a181,dance pop
a181,neo mellow
a181,pop
a181,pop rock
a182,australian dance
a182,australian pop
a182,australian rock
a183,british invasion
a183,classic rock
a183,merseybeat
a183,psychedelic rock
a183,rock
a184,dance pop
a184,pop dance
a184,talent show
a184,uk pop
a185,australian rock
a185,kiwi rock
a186,acid house
a186,ambient house
a186,big beat
a186,hip house
a187,classic soul
a187,rock-and-roll
a187,soul
a187,southern soul
a188,bronx hip hop
a188,old school hip hop
a189,glam rock
a189,mellow gold
a189,piano rock
a189,rock
a189,dance pop
a189,pop
a190,glam rock
a190,mellow gold
a190,piano rock
a190,rock
a190,dance pop
a190,pop
a191,australian dance
a191,australian house
a191,funktronica
a192,social media pop
a193,social media pop
a194,contemporary country
a195,dansktop
a196,rock-and-roll
a196,rockabilly
a197,australian rock
a197,new romantic
a198,pop
a199,dance pop
a199,pop
a199,r&b
a199,rap
a200,dance pop
a200,pop
a200,r&b
a200,rap
a147,dance pop
a201,canadian pop
a201,pop
a201,viral pop
a201,dance pop
a202,disco
a202,mellow gold
a202,new wave pop
a202,soft rock
a202,soul
a203,new wave
a203,permanent wave
a203,rock
a203,uk post-punk
a204,dance pop
a204,pop
a206,alternative rock
a206,dance rock
a206,indie rock
a206,modern rock
a206,rock
a206,scottish rock
a207,freestyle
a207,hi-nrg
a207,new romantic
a207,new wave pop
a207,soft rock
a207,synthpop
a208,arkansas country
a208,outlaw country
a208,rock
a208,country
a209,arkansas country
a209,outlaw country
a209,rock
a209,country
a169,detroit hip hop
a169,hip hop
a169,rap
a169,east coast hip hop
a169,gangster rap
a169,pop rap
a169,queens hip hop
a152,singer-songwriter pop
a152,uk pop
a152,east coast hip hop
a152,gangster rap
a152,pop rap
a152,queens hip hop
a210,pop
a210,singer-songwriter pop
a210,uk pop
a210,detroit hip hop
a210,hip hop
a210,rap
a210,east coast hip hop
a210,gangster rap
a210,pop rap
a210,queens hip hop
a211,album rock
a211,british invasion
a211,classic rock
a211,rock
a212,australian indie
a213,nz pop
a213,pop
a214,nz pop
a214,pop
a215,british soul
a215,dance pop
a215,pop
a215,talent show
a216,album rock
a216,classic rock
a216,heartland rock
a216,mellow gold
a216,rock
a216,soft rock
a216,yacht rock
a217,cowboy western
a217,nashville sound
a218,eurodance
a218,europop
a218,hip house
a219,alternative dance
a219,dance-punk
a219,electropop
a219,neo-synthpop
a219,new rave
a69,dance pop
a69,pop
a44,contemporary country
a44,country
a44,country road
a220,alternative rock
a220,britpop
a220,permanent wave
a220,rock
a221,classic rock
a221,folk rock
a221,mellow gold
a221,rock-and-roll
a221,rockabilly
a221,singer-songwriter
a221,doo-wop
a222,classic rock
a222,folk rock
a222,mellow gold
a222,rock-and-roll
a222,rockabilly
a222,singer-songwriter
a222,doo-wop
a223,classic canadian rock
a224,australian dance
a224,australian pop
a224,australian rock
a224,dance rock
a225,art punk
a225,permanent wave
a225,protopunk
a225,singer-songwriter
a226,alternative rock
a226,athens indie
a226,permanent wave
a226,rock
a227,new wave pop
a227,soft rock
a227,yacht rock
a228,adelaide punk
a229,blues rock
a229,british blues
a229,electric blues
a230,australian dance
a230,australian pop
a231,alternative metal
a231,canadian rock
a231,post-grunge
a66,pop r&b
a232,brostep
a232,edm
a232,pop
a232,progressive electro house
a232,pop r&b
a233,australian alternative rock
a233,australian rock
a234,lilith
a234,pop rock
a236,dancefloor dnb
a236,house
a236,pop dance
a236,uk dance
a236,indie poptimism
a236,pop
a237,dancefloor dnb
a237,house
a237,pop dance
a237,uk dance
a237,indie poptimism
a237,pop
a238,country
a238,country dawn
a238,country road
a239,rock drums
a239,soft rock
a240,diva house
a240,europop
a240,talent show
a241,adult standards
a241,folk rock
a241,mellow gold
a241,rock-and-roll
a241,rockabilly
a241,sunshine pop
a242,ambient pop
a242,canzone napoletana
a242,classical tenor
a242,italian tenor
a242,opera
a242,operatic pop
a243,ambient pop
a243,canzone napoletana
a243,classical tenor
a243,italian tenor
a243,opera
a243,operatic pop
a244,album rock
a244,classic rock
a244,country rock
a244,detroit rock
a244,hard rock
a244,heartland rock
a244,mellow gold
a244,rock
a244,singer-songwriter
a244,soft rock
a246,alternative dance
a246,dance rock
a246,dance-punk
a246,electrofox
a246,indietronica
a246,neo-synthpop
a246,new rave
a246,nu disco
a247,adult standards
a247,british invasion
a248,christian music
a249,alternative metal
a249,alternative rock
a249,grunge
a249,permanent wave
a249,rock
a249,spacegrunge
a250,australian dance
a250,australian pop
a250,dance pop
a250,eurodance
a250,new wave pop
a251,art pop
a251,candy pop
a251,metropopolis
a251,pop
a251,uk pop
a252,operatic pop
a253,boy band
a253,dance pop
a253,pop rock
a254,diva house
a254,garage house
a254,vocal house
a255,australian electropop
a256,album rock
a256,classic rock
a256,hard rock
a256,heartland rock
a256,mellow gold
a256,rock
a256,singer-songwriter
a256,soft rock
a257,swedish pop
a257,melbourne bounce international
a258,swedish pop
a258,melbourne bounce international
a259,new romantic
a259,new wave
a259,new wave pop
a259,soft rock
a259,synthpop
a260,australian rock
a261,glam metal
a261,rock
a262,british invasion
a66,indietronica
a66,metropopolis
a66,neo-synthpop
a66,shimmer pop
a263,brostep
a263,edm
a263,pop
a263,progressive electro house
a263,indietronica
a263,metropopolis
a263,neo-synthpop
a263,shimmer pop
a264,adult standards
a264,canadian pop
a264,jazz pop
a264,lounge
a265,alternative metal
a265,nu metal
a265,post-grunge
a266,aussietronica
a266,australian dance
a266,australian house
a267,british folk
a267,british invasion
a267,classic rock
a267,folk
a267,folk rock
a267,glam rock
a267,psychedelic folk
a267,psychedelic rock
a267,scottish singer-songwriter
a267,singer-songwriter
a268,boy band
a268,norwegian pop
a269,boy band
a269,norwegian pop
a270,soft rock
a271,australian pop
a272,dance pop
a272,pop
a272,pop rap
a273,pop dance
a273,uk dance
a273,uk funky
a273,r&b
a273,talent show
a273,uk pop
a273,conscious hip hop
a273,east coast hip hop
a273,gangster rap
a273,hardcore hip hop
a273,hip hop
a273,queens hip hop
a273,rap
a274,pop dance
a274,uk dance
a274,uk funky
a274,r&b
a274,talent show
a274,uk pop
a274,conscious hip hop
a274,east coast hip hop
a274,gangster rap
a274,hardcore hip hop
a274,hip hop
a274,queens hip hop
a274,rap
a275,pop dance
a275,uk dance
a275,uk funky
a275,r&b
a275,talent show
a275,uk pop
a275,conscious hip hop
a275,east coast hip hop
a275,gangster rap
a275,hardcore hip hop
a275,hip hop
a275,queens hip hop
a275,rap
a276,dance pop
a276,pop
a276,uk pop
a276,australian house
a276,deep groove house
a276,house
a277,dance pop
a277,pop
a277,uk pop
a277,australian house
a277,deep groove house
a277,house
a278,album rock
a278,classic rock
a278,mellow gold
a278,piano rock
a278,rock
a278,singer-songwriter
a278,soft rock
a279,british soul
a280,british soul
a281,alternative rock
a281,modern rock
a281,permanent wave
a281,rock
a282,disco
a282,girl group
a282,hi-nrg
a282,motown
a282,new wave pop
a282,soft rock
a283,australian dance
a283,australian electropop
a283,dance rock
a283,indietronica
a283,neo-synthpop
a284,alternative metal
a284,alternative rock
a284,classic rock
a284,grunge
a284,hard rock
a284,permanent wave
a284,rock
a285,dance pop
a285,pop
a285,pop rap
a286,disco
a286,funk
a286,jazz funk
a286,motown
a286,soul
a287,disco
a287,funk
a287,jazz funk
a287,motown
a287,soul
a288,eurodance
a288,europop
a288,new wave pop
a289,modern alternative rock
a289,modern rock
a289,pov: indie
a289,punk blues
a289,rock
a290,britpop
a290,britpop revival
a290,solo wave
a291,british soul
a291,electropop
a291,neo soul
a291,pop soul
a291,uk pop
a292,classic girl group
a292,doo-wop
a292,rhythm and blues
a293,australian alternative rock
a294,dance pop
a294,pop rap
a294,reggae fusion
a295,dance pop
a295,pop rap
a295,reggae fusion
a296,adult standards
a296,arkansas country
a296,classic country pop
a296,folk rock
a296,mellow gold
a296,nashville sound
a296,singer-songwriter
a296,soft rock
a298,australian pop
a299,adult standards
a299,classic girl group
a299,classic soul
a299,disco
a299,motown
a299,soul
a300,australian pop
a300,australian singer-songwriter
a300,lilith
a300,piano rock
a301,disco
a301,mellow gold
a301,soft rock
a302,dance pop
a302,edm
a302,pop dance
a302,uk dance
a302,big room
a302,pop
a302,uk pop
a303,dance pop
a303,edm
a303,pop dance
a303,uk dance
a303,big room
a303,pop
a303,uk pop
a304,dance pop
a304,edm
a304,pop dance
a304,uk dance
a304,big room
a304,pop
a304,uk pop
a306,album rock
a306,classic rock
a306,country rock
a306,folk rock
a306,mellow gold
a306,rock
a306,soft rock
a306,yacht rock
a307,rhythm and blues
a308,australian electropop
a309,australian pop
a309,australian rock
a310,pop
a310,uk dance
a310,uk funky
a310,dance pop
a310,dancehall
a310,pop rap
a311,pop
a311,uk dance
a311,uk funky
a311,dance pop
a311,dancehall
a311,pop rap
a198,uk dance
a198,uk funky
a198,dance pop
a198,dancehall
a198,pop rap
a312,mellow gold
a312,soft rock
a313,neo mellow
a313,uk pop
a313,viral pop
a314,album rock
a314,art rock
a314,blues rock
a314,british blues
a314,classic rock
a314,folk rock
a314,hard rock
a314,mellow gold
a314,progressive rock
a314,soft rock
a314,symphonic rock
a315,australian rock
a315,dream pop
a315,new romantic
a315,new wave
a316,edm
a316,pop
a316,pop dance
a316,tropical house
a316,singer-songwriter pop
a317,edm
a317,pop
a317,pop dance
a317,tropical house
a317,singer-songwriter pop
a318,australian alternative rock
a318,australian indie
a318,australian pop
a318,australian rock
a318,perth indie
a319,canadian indie
a319,canadian pop
a319,canadian singer-songwriter
a319,ontario indie
a319,pop quebecois
a320,afrobeats
a322,flamenco electronica
a323,australian pop
a323,australian rock
a324,australian pop
a324,australian rock
a325,australian pop
a325,australian rock
a327,britpop
a327,permanent wave
a327,rock
a327,shoegaze
a328,album rock
a328,classic rock
a328,hard rock
a328,mellow gold
a328,rock
a328,soft rock
a329,manchester indie
a330,candy pop
a330,girl group
a330,norwegian pop
a331,alternative metal
a331,comedy rock
a331,comic
a331,comic metal
a331,parody
a332,australian rock
a333,australian hip hop
a333,australian trap
a333,australian underground hip hop
a334,australian hip hop
a334,australian trap
a334,australian underground hip hop
a335,europop
a335,swedish pop
a336,alternative metal
a336,modern rock
a336,neon pop punk
a336,pop punk
a336,pop rock
a336,post-grunge
a337,australian hip hop
a337,australian trap
a337,australian indie
a337,australian pop
a338,australian hip hop
a338,australian trap
a338,australian indie
a338,australian pop
a339,alternative rock
a339,art punk
a339,dance rock
a339,new romantic
a339,new wave
a339,new wave pop
a339,post-punk
a339,synth punk
a339,synthpop
a339,zolo
a340,classic rock
a340,glam rock
a340,rock
a341,doo-wop
a341,rhythm and blues
a341,rock-and-roll
a342,dance pop
a342,hollywood
a342,neo mellow
a342,post-teen pop
a343,dance pop
a343,pop
a344,classic country pop
a344,classic texas country
a344,country
a344,country rock
a344,nashville sound
a344,outlaw country
a344,singer-songwriter
a345,contemporary r&b
a345,new jack swing
a345,r&b
a345,urban contemporary
a346,pop rap
a346,seattle hip hop
a346,piano rock
a346,viral pop
a347,pop rap
a347,seattle hip hop
a347,piano rock
a347,viral pop
a349,album rock
a349,classic rock
a349,country rock
a349,mellow gold
a349,rock
a349,southern rock
a349,swamp rock
a351,metropopolis
a351,modern rock
a351,pop
a352,talent show
a353,electropop
a353,etherpop
a353,indie poptimism
a353,pop
a354,glam rock
a354,hard rock
a354,rock
a355,british soul
a355,pop
a355,pop soul
a355,uk pop
a356,disco
a356,hi-nrg
a356,new wave pop
a356,soft rock
a357,classical tenor
a357,opera
a357,operatic pop
a358,classical tenor
a358,opera
a358,operatic pop
a359,british invasion
a360,british invasion
a361,british invasion
a362,british invasion
a363,diva house
a363,eurodance
a363,german techno
a363,hip house
a364,chicago bop
