track_id,track_name,popularity,duration_ms,explicit,preview_url,status,submitted_by,reviewed_by
7Dm3dV3WPNdTgxoNY7YFnc,The Chain - 2004 Remaster,60,269813,0,https://p.scdn.co/mp3-preview/93de8b97f51f60e086c141c9d27622ab37944cc3?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0Pu71wxadDlB8fJXfjIjeJ,Shoop,70,248573,0,https://p.scdn.co/mp3-preview/4a88a15552524cf0f1a79184073de290ce60605a?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
5PLC7cNlxWIMAZvXrtqsZm,Trouble,0,193600,0,https://p.scdn.co/mp3-preview/50b3720a9d02c097443243182ef24704614441a2?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
4stNldZRtgwvHvb34INX5y,You Got Me,37,227485,0,https://p.scdn.co/mp3-preview/fc87fb7dedb60de55af0319ad0ee31e6b7d0b87b?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
5LenBcq9xeHLC00Gn7AyYv,I Am the Beat,25,180547,0,https://p.scdn.co/mp3-preview/46344317a54388d705a1a3eb32ef63046c461ded?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0K1ddNp1ev0zdik1EzuxkT,Well Hello,0,174040,0,https://p.scdn.co/mp3-preview/229de6c06935943702089c4cb2b86c2b7fa3e423?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
1A4a167Yf7bXEkVOqon1HK,Twistin' Matilda (And the Channel),0,174933,0,https://p.scdn.co/mp3-preview/395bbe792264e99455e4159e5755dcc29fb01fff?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
34sAPj9hCZr4f814I3MWEy,Nothing Can Divide Us,8,226200,0,https://p.scdn.co/mp3-preview/bf99006fe32f957c34e7771eb6ea950c655149ea?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
1HXaX12pA7jVuwUczy5UOd,Its Only the Beginning,40,281640,0,https://p.scdn.co/mp3-preview/0e535704f5582f9881ff1346e525c3efd8bab18b?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2gGxroCYEruO4Bco35RnGU,S.O.S.,0,153346,0,https://p.scdn.co/mp3-preview/e3537232f9b07c5a790914c932050b713bbd85e7?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0cVyQfDyRnMJ0V3rjjdlU3,Lil Boo Thang,79,114233,0,https://p.scdn.co/mp3-preview/79f29532b707e2bd12e311d7dce2591b4d57437e?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2NELtMgQ8HSdrGrYQPLnC3,Piece by Piece,50,257746,0,https://p.scdn.co/mp3-preview/f628a42dac2688f5c149768b0b2ee3a20f49fc3c?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
6vVfNqiMSku4FrqsqhurBK,Glamorous,62,246600,1,https://p.scdn.co/mp3-preview/ba1380303365ab2106f43e1647c7a09e2eef35fc?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2vG1yrWSMiL6egg6w4e9ma,Free Your Mind,53,293105,0,https://p.scdn.co/mp3-preview/1534e3c452634d8b73c9c1fd498910cd9090fed6?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
6ZQIKSFLoonDStQchogVdC,Untouchable (Originally Performed by Taylor Swift) [Vocal Version],1,316212,0,https://p.scdn.co/mp3-preview/90823f0c8beb0461ddaf2e8ed0610ef4cf435bee?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
74Hy0E0huf9VS853otOC0m,From The Sea,0,203146,0,https://p.scdn.co/mp3-preview/56abd5af47f5763c6d2d8c691484c26092635997?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2NjO87HyT80fsgejd3PLYW,Dance To This (feat. Ariana Grande),64,231846,0,https://p.scdn.co/mp3-preview/f1d24e8a12e82dba75f9dd181d623bcb97879868?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
1ESxXEaYZ3CvkVqBdSHZiS,Into The Dark,28,166893,0,https://p.scdn.co/mp3-preview/a90d9f32a863055afca2f50e2424e4e65fe3de34?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
1Xhz8EjC4GChCe46aR0MFy,Happenin' All Over Again - Radio,23,208346,0,https://p.scdn.co/mp3-preview/5ac654a40a8d77e805c0d703152e5eded192de15?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
6UqKslmiLujULn7mpfbpaC,You've Never Been This Far Before,1,192893,0,https://p.scdn.co/mp3-preview/a21c22b31b117f6a99e637118b923f9d88c6019d?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2yWyFT6bW1Rd9cjVvYi4v8,Superstylin',60,360426,0,https://p.scdn.co/mp3-preview/d46a238e623762ef595367c5099d018e9d0bb788?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
7rojor07Wzc7w3zXOxex80,Halfway Gone,49,195306,0,https://p.scdn.co/mp3-preview/2e609017bbfad350a1f0f50c71c9e26ffea87989?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
39umHdGKfpnjY4TFtnoQ51,Too Much (feat. Usher),52,165704,0,https://p.scdn.co/mp3-preview/81cd8f86d708c9aa9f35489fd3ae3f191e5f8850?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
3g2zKo9K0MymRmkn6fXWcr,Polaroid,24,150206,0,https://p.scdn.co/mp3-preview/18258a73147f10e7eed6de32a6d587b01136065b?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0iyFZC2XuPdLpfQpUeli4H,Walk Right In,40,187066,0,https://p.scdn.co/mp3-preview/f711b62dff4e559d3ba7e7e01bc1998f6f24a33e?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
4rRRVHoBP8v42QdOivhhfj,Two Strong Hearts,16,212840,0,https://p.scdn.co/mp3-preview/22aef9beb14c26366f0b8bb47a4e6bc228ce457e?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
4tCtwWceOPWzenK2HAIJSb,Work from Home (feat. Ty Dolla $ign),75,214480,0,https://p.scdn.co/mp3-preview/58fd9aa04f6972b8302f497dc6bb6160941c1e58?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
40rOKDgEB0PoedLUQELRFi,Hidden Agenda - New Mix,0,252600,0,https://p.scdn.co/mp3-preview/149191b47ed5595f41bf751e0480aa67947bc796?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
6F5c58TMEs1byxUstkzVeM,Roar,70,223546,0,https://p.scdn.co/mp3-preview/d72636d23beb0e3c283ec8150b8f50f9b5b0d8a3?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
5tzbM8m70V977Ezpfk8IPS,Time After Time,0,241333,0,https://p.scdn.co/mp3-preview/36937f5e84f627d9b6b2380cb715e6ead0ecf52b?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
6W21LNLz9Sw7sUSNWMSHRu,Freak On a Leash,78,255733,1,https://p.scdn.co/mp3-preview/1748e7fff0689e02eed3deebaf7837afabbe8657?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
5YDP1MSGDD5k0pm7j5KjMM,Chulu Chululu,2,127680,0,https://p.scdn.co/mp3-preview/2495df2c487a6d880676c51e4f57eb8dced20570?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
6t1FIJlZWTQfIZhsGjaulM,Video Killed The Radio Star,62,253800,0,https://p.scdn.co/mp3-preview/0d0dbf059733ddc5252c7867827fa4e76961fd5e?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
1mVTTCmWniYZrjHwHRqWyw,Lay Down (Candles In The Rain) - Long Version,28,469933,0,https://p.scdn.co/mp3-preview/21160aa7c9423549e4a490a12eb501ce471eb37a?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
1QV6tiMFM6fSOKOGLMHYYg,Poker Face,81,237200,0,https://p.scdn.co/mp3-preview/36abf77572983417d63a3aed8923d00e07167efa?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
7K5u9x1qd2WyEkTN7ntm1A,Vegas Girl,18,171826,0,https://p.scdn.co/mp3-preview/e22b059524ab51a6c051efdc584efe1198f8015e?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
41on8RwRh22IHcChAN2gm8,American Boy (feat. Kanye West),0,284733,1,https://p.scdn.co/mp3-preview/6f51d610e0fcdf1a2452dde184f2c3c1a761885f?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
4V9JDRqKjN8F2HWdlEDxvI,Harder To Breathe,64,173693,1,https://p.scdn.co/mp3-preview/025d7fa6f3ddf30be6ff1c18bfd508869a2182fe?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
7IhsLJMqdxoo7YAZjaSMru,Dead And Gone,67,299746,1,https://p.scdn.co/mp3-preview/a282d070d34ad7e8c0608d9a426617f6cd96c11f?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
0t414ewhjcIiuPVF3QECz2,If,51,271640,0,https://p.scdn.co/mp3-preview/9eb625d8043c780e1e536678d81c3506b27104d0?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
2DJpq0JJbGiBuQ3S5TDpPD,Truth Hurts,15,173306,0,https://p.scdn.co/mp3-preview/3e65edc0284eeb937793404c4d8c4bd94de3f26b?cid=9950ac751e34487dbbe027c4fd7f8e99,approved,2,1
